(44.11238, -9.974913, -38.31126)
(26.16482, -11.08483, -29.59026)
(14.14152, -12.37478, -24.91592)
(9.108513, -12.91476, -22.95922)
(4.150028, -12.57473, -18.60339)
(-3.537395, -12.57468, -4.029709)
(-10.40103, -12.57462, 12.74346)
(-22.94521, -12.57457, 16.36521)
(-26.58852, -12.57456, 17.73314)
(-31.90553, -12.57453, 24.0313)
(-32.23822, -12.57451, 31.3725)
(-28.18435, -12.57449, 36.74369)
(-21.13039, -12.57446, 36.70687)
(-18.29756, -12.57445, 35.81752)
(-17.23181, -12.57444, 32.91233)
(-22.37804, -12.57442, 29.27888)
(-33.16173, -12.57439, 25.75491)
(-47.65215, -12.57434, 22.24589)
(-59.66945, -12.57429, 15.22592)
(-67.46296, -12.57425, 5.21332)
(-70.90702, -12.57422, -3.932955)
(-69.7226, -12.57419, -14.39421)
(-64.03528, -12.57415, -22.96012)
(-55.92812, -11.07412, -30.50624)
(-48.09379, -11.07409, -34.02787)
(-39.03707, -13.07406, -36.14087)
(-29.68817, -12.07403, -38.32202)
(-23.25802, -12.07401, -42.52425)
(-21.26472, -12.07398, -49.35756)
(-21.68629, -12.07396, -56.82888)
(-23.11575, -12.07394, -61.66445)
(-25.17913, -12.07393, -64.21062)
(-28.81661, -12.07392, -66.80376)
(-40.43054, -12.07388, -70.72978)
(-45.50546, -12.07386, -71.03226)
(-49.62822, -12.07385, -70.35665)
(-53.03372, -12.07384, -68.5179)
(-55.81095, -12.07382, -64.66191)
(-56.92317, -12.07381, -60.62696)
(-56.93111, -12.07378, -52.26081)
(-56.03858, -12.07377, -47.58411)
(-53.50788, -12.07375, -43.24551)
(-49.43481, -12.07373, -40.79378)
(-45.69764, -12.07372, -41.78321)
(-42.1534, -12.07371, -44.02469)
(-40.18709, -12.0737, -46.26715)
(-39.31378, -12.07369, -48.81453)
(-39.16626, -12.07368, -53.51166)
(-40.62577, -12.07367, -56.1198)
(-43.61058, -12.07365, -58.03536)
(-47.43701, -12.07364, -57.82685)
(-50.50509, -12.07363, -55.08427)
(-51.08485, -12.07362, -51.01011)
(-48.90362, -12.0736, -47.52054)
(-44.99435, -12.07359, -46.16711)
(-42.27382, -12.07358, -44.97773)
(-40.45655, -12.07357, -42.62967)
(-40.45166, -12.07355, -37.66458)
(-43.50914, -12.07354, -34.47327)
(-47.3159, -12.07352, -30.78339)
(-47.63611, -12.07351, -26.96469)
(-45.34195, -12.0735, -23.54829)
(38.53226, -8.264946, -47.17603)
