(11.8313, -6.54194, -364.6737)
(-6.486583, -3.406712, -345.6627)
(-12.10686, -6.551637, -339.8298)
(-17.11448, -9.731511, -326.5068)
(-19.37341, -9.416419, -316.2529)
(-20.3538, -8.126307, -303.3966)
(-17.34835, -7.811158, -288.7513)
(3.163191, -8.575772, -248.4294)
(8.45145, -9.655591, -227.6134)
(13.39087, -8.09024, -190.7422)
(16.5776, -10.89, -166.9544)
(17.85232, -12.0099, -157.4392)
(25.48847, -6.789728, -143.0449)
(57.15643, -4.054387, -123.8736)
(97.36622, 15.20596, -115.2674)
(116.9791, 22.93115, -112.5508)
(154.4219, 47.65134, -107.3645)
(173.1433, 52.90152, -104.7714)
(187.249, 54.24669, -97.24734)
(192.2217, 52.40182, -86.03906)
(199.9003, 39.26735, -49.1818)
(207.5849, 34.26257, -32.11646)
(212.9036, 31.08273, -17.39824)
(216.1196, 28.61303, 5.899995)
(210.6066, 31.33821, 20.98613)
(188.9217, 36.50331, 14.53295)
(166.719, 50.63829, 0.3423525)
(154.5367, 57.80829, -7.335893)
(136.5169, 55.37353, -18.69331)
(116.074, 44.64396, -28.12226)
(109.384, 39.32914, -34.5665)
(96.79792, 2.419935, -47.85114)
(84.97005, -1.489449, -53.19646)
(52.47656, -1.487915, -52.26838)
(42.36272, -1.487315, -45.2463)
(46.9106, -1.486729, -35.08878)
(62.86232, -1.485976, -34.95484)
(76.29999, 5.014649, -36.24934)
(88.71443, 5.015244, -39.651)
(97.60986, -3.484327, -42.36403)
(105.5162, 6.981108, -44.18079)
