(180.5672, 123, 14.53701)
(151.945, 123, 17.45219)
(102.6819, 123, 15.47847)
(53.23739, 123, 18.96039)
(-13.38732, 123, 18.55034)
(-103.1894, 123, 19.47005)
(-102.7908, 105.239, -12.36808)
(-85.20576, 90.35822, -17.56544)
(-64.59795, 75.16237, -17.10167)
(-48.4602, 76.37734, -15.68401)
(-30.82821, 71.45701, -14.13504)
(-9.311238, 31.22556, -12.24478)
(-8.514862, 7.989819, -1.448474)
(-19.41081, 4.989293, 7.500715)
(-30.53859, 14.9788, 16.64033)
(-36.83384, 26.94846, 25.87646)
(-45.23503, 30.72799, 52.34909)
(-46.28398, 10.10335, 58.14766)
(-36.08891, 23.4987, 51.53549)
(-18.97376, 35.88932, 48.51641)
(0.5780174, 49.75001, 46.03428)
(18.36855, 62.35064, 44.32262)
(44.07734, 80.41185, 43.44082)
(60.26132, 125.9626, 40.22697)
(97.63118, 144.1876, 32.80592)
