(203.4296, -7, -151.5313)
(177.7568, -7, -115.8585)
(82.57444, -5.36998, -23.95104)
(79.60667, -5.789983, -21.1875)
(65.23393, -7.259994, -19.71855)
(30.38376, -9.300063, -14.13586)
(10.6365, -4.380078, -10.38695)
(-7.821284, -7.585077, -15.72412)
(-36.41587, -8.959991, -13.26969)
(-61.59615, -8.959909, -11.09138)
(-85.08195, -8.959833, -14.58831)
(-97.98393, -8.95979, -14.47136)
(-99.47946, -8.959784, -13.07335)
(-97.48268, -7.209773, -11.86876)
(-93.1683, -8.644765, -12.42015)
(-90.15539, -9.6297, -33.3722)
(-99.75877, -3.85462, -46.67478)
(-103.4256, -6.549516, -67.17638)
(-84.52196, -8.354392, -71.99784)
(-62.38579, -7.24425, -71.26274)
(-36.32369, -7.909109, -69.85491)
(-14.42133, -7.808943, -73.77647)
(0.5362223, -8.99385, -79.16939)
(16.32454, -9.89875, -80.44581)
(34.16392, -8.983613, -78.23998)
(42.77467, -8.143487, -64.43824)
(38.58017, -7.318385, -49.85395)
(23.07775, -8.133294, -43.74041)
(14.3664, -8.933237, -41.47929)
(3.743398, -8.633142, -37.70689)
(-5.495298, -5.893067, -40.03679)
(-4.514106, -6.478019, -49.53207)
(-1.798527, -9.482984, -42.92707)
(-0.1852041, -8.682967, -41.53755)
(17.14998, -8.682845, -35.54904)
