(179.5697, 123, 14.60773)
(148.0031, 123, 18.13202)
(97.19923, 123, 15.04324)
(48.96873, 123, 19.47851)
(-17.35398, 123, 18.03492)
(-69.58537, 123, 25.96064)
(-98.13678, 101.0788, -14.68768)
(-81.52907, 87.39805, -17.98035)
(-60.01563, 74.47229, -16.69913)
(-43.87788, 77.75741, -15.28145)
(-25.34935, 64.58159, -13.65372)
(-4.430083, 16.28032, -11.81597)
(-11.60591, 5.989665, 1.090304)
(-24.82015, 7.279046, 11.94358)
(-31.31135, 16.02877, 17.27503)
(-38.51287, 31.14834, 29.507)
(-46.298, 19.2281, 56.8246)
(-46.15953, 11.35338, 57.15543)
(-33.36252, 25.66881, 50.06009)
(-14.37862, 39.10948, 48.30473)
(4.166602, 52.34014, 45.13313)
(22.96851, 65.57083, 44.34087)
(48.29498, 83.42205, 42.60328)
(64.18471, 113.7628, 39.44786)
(98.61201, 123.5376, 32.61114)
