(12.52516, -5.541948, -365.3938)
(-5.792723, -2.856721, -346.3828)
(-11.413, -6.201646, -340.5499)
(-16.89935, -9.53152, -327.4834)
(-19.15828, -9.516429, -317.2295)
(-20.28702, -8.226317, -304.3944)
(-17.57942, -7.761168, -289.7243)
(2.698599, -8.525781, -249.3149)
(8.31867, -9.605599, -228.6045)
(13.25809, -8.39025, -191.7334)
(16.44482, -11.19001, -167.9455)
(17.71954, -12.30991, -158.4304)
(24.68496, -7.089738, -143.6402)
(56.25067, -4.104396, -124.2974)
(96.37567, 14.70595, -115.4046)
(115.9886, 22.58114, -112.688)
(153.4313, 46.70134, -107.5017)
(172.1527, 53.00151, -104.9086)
(186.6573, 54.09668, -98.0535)
(191.8479, 52.70181, -86.96655)
(199.6692, 39.81733, -50.15474)
(207.0767, 34.46255, -32.97766)
(212.8205, 31.28271, -18.39479)
(216.0864, 28.61302, 4.900546)
(211.4901, 31.0882, 20.51761)
(189.8379, 36.35331, 14.93375)
(167.565, 49.8383, 0.8755634)
(155.3826, 57.75828, -6.802681)
(137.3629, 55.67352, -18.1601)
(116.8307, 45.14394, -27.46861)
(110.0718, 40.17912, -33.84056)
(97.48569, 4.719886, -47.12521)
(85.93582, -1.489495, -52.93708)
(53.40237, -1.487961, -52.64635)
(42.68977, -1.487361, -46.1913)
(45.9726, -1.486776, -35.4354)
(61.86693, -1.486022, -34.85896)
(75.3046, 5.014603, -36.15345)
(87.75793, 5.015198, -39.35928)
(96.65335, -3.484373, -42.0723)
(105.6327, 5.831063, -45.17397)
