(-313.1968, 1.5, -145.6109)
(-265.5015, 7, -150.9942)
(-205.6541, 8, -151.2194)
(-156.4235, 12.5, -153.6858)
(-99.08405, 9.5, -156.866)
(-56.00521, 5.5, -156.502)
(-30.0055, 1, -154.2174)
(-1.265899, 1, -139.4479)
(5.153927, 1, -91.23245)
(17.90573, 1, -24.17864)
(21.50117, 1, 26.28874)
(14.93183, 1, 82.93504)
(9.217271, 1, 93.82692)
(1.737661, 1, 96.03947)
(-6.958324, 1, 92.74251)
(-8.965932, 1, 85.20569)
(-11.6491, 1, 75.05432)
(-20.61856, 1, 41.11975)
(-26.52154, 1, 18.78674)
(-30.31293, 1, 6.524293)
(-36.96739, 1, 5.325078)
(-41.45561, 1, 3.623426)
(-47.8702, 4, 5.176951)
(-59.13503, 4, 8.226418)
(-65.26392, 4, 18.17104)
(-75.72371, 4, 19.08982)
(-79.19502, 4, 15.77469)
(-80.47504, 4, 6.724394)
(-79.54753, 4, -2.769427)
(-71.46562, 4, -5.989991)
(-65.53678, 4, 2.67603)
(-44.99951, 1.5, 11.867)
(-42.07907, 1.5, 26.27396)
(-40.85933, 1.5, 41.08252)
(-47.08564, 1.5, 57.85761)
(-60.53637, 1.5, 66.97687)
(-75.06922, 1.5, 66.99043)
(-105.7452, 1.5, 59.83328)
(-136.7849, 1.5, 58.89929)
(-167.5511, 1.5, 62.31715)
(-182.4631, 1.5, 54.31773)
(-192.2074, 1.5, 40.47954)
(-193.5319, 1.5, 24.15931)
(-184.4641, 1.5, 10.19306)
(-168.108, 1.5, 3.606478)
(-150.8345, 1.5, 5.794006)
(-137.3246, 1.5, 16.45516)
(-114.9603, 1.5, 37.90242)
(-110.8982, 1.5, 40.3952)
(-103.0595, 1.5, 37.60409)
(-101.5498, 1.5, 32.48188)
(-101.421, 1.5, 17.1824)
(-101.2417, 1.5, -4.116807)
(-89.12624, 1.5, -21.12949)
(-54.98656, 1.5, -32.6087)
(-28.92535, 1.5, -22.30286)
(-13.52249, 1.5, 5.274855)
(9.983521, 1.5, 10.51393)
(25.49888, 1.5, 2.530342)
(31.75325, 1.5, -14.14741)
(25.93646, 1.5, -34.43193)
(-14.49134, 1.5, -92.61707)
