(305.5307, -75.5, -9.550633)
(289.6366, -75.5, -2.368545)
(219.9981, -66.23927, -1.286451)
(138.057, -47.93878, -9.582776)
(94.74511, -43.87339, -12.0008)
(58.45305, -50.81791, -11.24635)
(14.66251, -45.38757, -10.33602)
(0.9012, -42.3275, -15.35936)
(-12.88493, -37.8274, -5.551364)
(-5.589139, -33.80732, 8.806056)
(-22.26018, -17.90736, 22.30372)
(-38.96383, -24.86706, 29.77886)
(-59.50111, -49.5265, 38.96962)
(-80.86012, -73.37554, 48.528)
(-116.7324, -88.98733, 64.58118)
(-164.6534, -100.1125, 86.02626)
(-178.8928, -104.6563, 92.39851)
(-188.477, -105.6903, 96.68753)
(-195.6643, -103.6637, 106.9937)
(-199.4706, -100.8573, 117.4208)
(-205.746, -101.8155, 134.6115)
(-209.6552, -102.0694, 145.3204)
(-222.6968, -88.74657, 158.3113)
(-228.0533, -76.0531, 132.381)
(-220.7793, -76.05161, 121.3899)
(-203.1884, -72.74938, 113.6946)
(-180.7745, -63.14615, 118.2073)
(-111.9419, -37.57541, 86.72444)
(-70.72007, -6.882538, 47.35806)
(-26.24454, 12.60131, 4.883563)
(8.251061, 27.71318, -28.06012)
(43.8314, 16.64973, -62.03955)
(70.03799, 21.80002, -93.60229)
(52.96606, 27.83612, -132.3334)
(39.96746, 25.45324, -128.0865)
